Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Slot Name,Slot Name with Unit,Year,Month
29,29,Mead.Storage,04-30-2039 23:59:00,13122737,Storage,Storage (acre-ft),2039,April
29,29,Mead.Storage,05-31-2039 23:59:00,12966517,Storage,Storage (acre-ft),2039,May
29,29,Mead.Storage,06-30-2039 23:59:00,12734714,Storage,Storage (acre-ft),2039,June
29,29,Mead.Storage,07-31-2039 23:59:00,12690897,Storage,Storage (acre-ft),2039,July
29,29,Mead.Storage,08-31-2039 23:59:00,12750073,Storage,Storage (acre-ft),2039,August
29,29,Mead.Storage,09-30-2039 23:59:00,12783027,Storage,Storage (acre-ft),2039,September
29,29,Mead.Storage,10-31-2039 23:59:00,13002501,Storage,Storage (acre-ft),2039,October
29,29,Mead.Storage,11-30-2039 23:59:00,13069240,Storage,Storage (acre-ft),2039,November
29,29,Mead.Storage,12-31-2039 23:59:00,13170455,Storage,Storage (acre-ft),2039,December
29,29,Mead.Storage,01-31-2040 23:59:00,13293026,Storage,Storage (acre-ft),2040,January
29,29,Mead.Storage,02-29-2040 23:59:00,13266991,Storage,Storage (acre-ft),2040,February
29,29,Mead.Storage,03-31-2040 23:59:00,13122879,Storage,Storage (acre-ft),2040,March
29,29,Mead.Storage,04-30-2040 23:59:00,12875553,Storage,Storage (acre-ft),2040,April
29,29,Mead.Storage,05-31-2040 23:59:00,12755993,Storage,Storage (acre-ft),2040,May
29,29,Mead.Storage,06-30-2040 23:59:00,12550752,Storage,Storage (acre-ft),2040,June
29,29,Mead.Storage,07-31-2040 23:59:00,12565908,Storage,Storage (acre-ft),2040,July
29,29,Mead.Storage,08-31-2040 23:59:00,12686829,Storage,Storage (acre-ft),2040,August
29,29,Mead.Storage,09-30-2040 23:59:00,12699873,Storage,Storage (acre-ft),2040,September
29,29,Mead.Storage,10-31-2040 23:59:00,12949488,Storage,Storage (acre-ft),2040,October
29,29,Mead.Storage,11-30-2040 23:59:00,13049582,Storage,Storage (acre-ft),2040,November
29,29,Mead.Storage,12-31-2040 23:59:00,13147091,Storage,Storage (acre-ft),2040,December
29,29,Mead.Storage,01-31-2041 23:59:00,13272055,Storage,Storage (acre-ft),2041,January
29,29,Mead.Storage,02-28-2041 23:59:00,13257065,Storage,Storage (acre-ft),2041,February
29,29,Mead.Storage,03-31-2041 23:59:00,13119462,Storage,Storage (acre-ft),2041,March
29,29,Mead.Storage,04-30-2041 23:59:00,12892605,Storage,Storage (acre-ft),2041,April
29,29,Mead.Storage,05-31-2041 23:59:00,12762696,Storage,Storage (acre-ft),2041,May
29,29,Mead.Storage,06-30-2041 23:59:00,12577175,Storage,Storage (acre-ft),2041,June
29,29,Mead.Storage,07-31-2041 23:59:00,12507330,Storage,Storage (acre-ft),2041,July
29,29,Mead.Storage,08-31-2041 23:59:00,12517713,Storage,Storage (acre-ft),2041,August
29,29,Mead.Storage,09-30-2041 23:59:00,12478195,Storage,Storage (acre-ft),2041,September
29,29,Mead.Storage,10-31-2041 23:59:00,12703512,Storage,Storage (acre-ft),2041,October
29,29,Mead.Storage,11-30-2041 23:59:00,12786129,Storage,Storage (acre-ft),2041,November
29,29,Mead.Storage,12-31-2041 23:59:00,12882823,Storage,Storage (acre-ft),2041,December
29,29,Mead.Storage,01-31-2042 23:59:00,13041295,Storage,Storage (acre-ft),2042,January
29,29,Mead.Storage,02-28-2042 23:59:00,13059090,Storage,Storage (acre-ft),2042,February
29,29,Mead.Storage,03-31-2042 23:59:00,12947615,Storage,Storage (acre-ft),2042,March
29,29,Mead.Storage,04-30-2042 23:59:00,12626888,Storage,Storage (acre-ft),2042,April
29,29,Mead.Storage,05-31-2042 23:59:00,12495744,Storage,Storage (acre-ft),2042,May
29,29,Mead.Storage,06-30-2042 23:59:00,12345666,Storage,Storage (acre-ft),2042,June
29,29,Mead.Storage,07-31-2042 23:59:00,12221960,Storage,Storage (acre-ft),2042,July
29,29,Mead.Storage,08-31-2042 23:59:00,12240766,Storage,Storage (acre-ft),2042,August
29,29,Mead.Storage,09-30-2042 23:59:00,12193005,Storage,Storage (acre-ft),2042,September
29,29,Mead.Storage,10-31-2042 23:59:00,12440433,Storage,Storage (acre-ft),2042,October
29,29,Mead.Storage,11-30-2042 23:59:00,12501657,Storage,Storage (acre-ft),2042,November
29,29,Mead.Storage,12-31-2042 23:59:00,12578179,Storage,Storage (acre-ft),2042,December
29,29,Mead.Storage,01-31-2043 23:59:00,12770842,Storage,Storage (acre-ft),2043,January
29,29,Mead.Storage,02-28-2043 23:59:00,12815057,Storage,Storage (acre-ft),2043,February
29,29,Mead.Storage,03-31-2043 23:59:00,12717448,Storage,Storage (acre-ft),2043,March
29,29,Mead.Storage,04-30-2043 23:59:00,12440334,Storage,Storage (acre-ft),2043,April
29,29,Mead.Storage,05-31-2043 23:59:00,12304865,Storage,Storage (acre-ft),2043,May
29,29,Mead.Storage,06-30-2043 23:59:00,12128384,Storage,Storage (acre-ft),2043,June
29,29,Mead.Storage,07-31-2043 23:59:00,12011602,Storage,Storage (acre-ft),2043,July
29,29,Mead.Storage,08-31-2043 23:59:00,12055163,Storage,Storage (acre-ft),2043,August
29,29,Mead.Storage,09-30-2043 23:59:00,12049594,Storage,Storage (acre-ft),2043,September
29,29,Mead.Storage,10-31-2043 23:59:00,12258956,Storage,Storage (acre-ft),2043,October
29,29,Mead.Storage,11-30-2043 23:59:00,12326081,Storage,Storage (acre-ft),2043,November
29,29,Mead.Storage,12-31-2043 23:59:00,12408171,Storage,Storage (acre-ft),2043,December
29,29,Mead.Storage,01-31-2044 23:59:00,12504236,Storage,Storage (acre-ft),2044,January
29,29,Mead.Storage,02-29-2044 23:59:00,12521429,Storage,Storage (acre-ft),2044,February
29,29,Mead.Storage,03-31-2044 23:59:00,12328037,Storage,Storage (acre-ft),2044,March
29,29,Mead.Storage,04-30-2044 23:59:00,12106643,Storage,Storage (acre-ft),2044,April
29,29,Mead.Storage,05-31-2044 23:59:00,11952796,Storage,Storage (acre-ft),2044,May
29,29,Mead.Storage,06-30-2044 23:59:00,11723626,Storage,Storage (acre-ft),2044,June
29,29,Mead.Storage,07-31-2044 23:59:00,11626396,Storage,Storage (acre-ft),2044,July
29,29,Mead.Storage,08-31-2044 23:59:00,11595578,Storage,Storage (acre-ft),2044,August
29,29,Mead.Storage,09-30-2044 23:59:00,11609254,Storage,Storage (acre-ft),2044,September
29,29,Mead.Storage,10-31-2044 23:59:00,11932027,Storage,Storage (acre-ft),2044,October
29,29,Mead.Storage,11-30-2044 23:59:00,12098049,Storage,Storage (acre-ft),2044,November
29,29,Mead.Storage,12-31-2044 23:59:00,12231655,Storage,Storage (acre-ft),2044,December
29,29,Mead.Storage,01-31-2045 23:59:00,12323689,Storage,Storage (acre-ft),2045,January
29,29,Mead.Storage,02-28-2045 23:59:00,12291381,Storage,Storage (acre-ft),2045,February
29,29,Mead.Storage,03-31-2045 23:59:00,12235188,Storage,Storage (acre-ft),2045,March
29,29,Mead.Storage,04-30-2045 23:59:00,12010012,Storage,Storage (acre-ft),2045,April
29,29,Mead.Storage,05-31-2045 23:59:00,11785172,Storage,Storage (acre-ft),2045,May
29,29,Mead.Storage,06-30-2045 23:59:00,11546199,Storage,Storage (acre-ft),2045,June
29,29,Mead.Storage,07-31-2045 23:59:00,11416413,Storage,Storage (acre-ft),2045,July
29,29,Mead.Storage,08-31-2045 23:59:00,11306747,Storage,Storage (acre-ft),2045,August
29,29,Mead.Storage,09-30-2045 23:59:00,11219607,Storage,Storage (acre-ft),2045,September
29,29,Mead.Storage,10-31-2045 23:59:00,11371708,Storage,Storage (acre-ft),2045,October
29,29,Mead.Storage,11-30-2045 23:59:00,11398243,Storage,Storage (acre-ft),2045,November
29,29,Mead.Storage,12-31-2045 23:59:00,11464282,Storage,Storage (acre-ft),2045,December
29,29,Mead.Storage,01-31-2046 23:59:00,11533971,Storage,Storage (acre-ft),2046,January
29,29,Mead.Storage,02-28-2046 23:59:00,11526433,Storage,Storage (acre-ft),2046,February
29,29,Mead.Storage,03-31-2046 23:59:00,11375773,Storage,Storage (acre-ft),2046,March
29,29,Mead.Storage,04-30-2046 23:59:00,11177274,Storage,Storage (acre-ft),2046,April
29,29,Mead.Storage,05-31-2046 23:59:00,11065930,Storage,Storage (acre-ft),2046,May
29,29,Mead.Storage,06-30-2046 23:59:00,10885298,Storage,Storage (acre-ft),2046,June
29,29,Mead.Storage,07-31-2046 23:59:00,10789068,Storage,Storage (acre-ft),2046,July
29,29,Mead.Storage,08-31-2046 23:59:00,10746468,Storage,Storage (acre-ft),2046,August
29,29,Mead.Storage,09-30-2046 23:59:00,10698702,Storage,Storage (acre-ft),2046,September
29,29,Mead.Storage,10-31-2046 23:59:00,10890142,Storage,Storage (acre-ft),2046,October
29,29,Mead.Storage,11-30-2046 23:59:00,10928445,Storage,Storage (acre-ft),2046,November
29,29,Mead.Storage,12-31-2046 23:59:00,10995764,Storage,Storage (acre-ft),2046,December
29,29,Mead.Storage,01-31-2047 23:59:00,11228760,Storage,Storage (acre-ft),2047,January
29,29,Mead.Storage,02-28-2047 23:59:00,11309585,Storage,Storage (acre-ft),2047,February
29,29,Mead.Storage,03-31-2047 23:59:00,11244770,Storage,Storage (acre-ft),2047,March
29,29,Mead.Storage,04-30-2047 23:59:00,10990283,Storage,Storage (acre-ft),2047,April
29,29,Mead.Storage,05-31-2047 23:59:00,10883688,Storage,Storage (acre-ft),2047,May
29,29,Mead.Storage,06-30-2047 23:59:00,10743443,Storage,Storage (acre-ft),2047,June
29,29,Mead.Storage,07-31-2047 23:59:00,10672778,Storage,Storage (acre-ft),2047,July
29,29,Mead.Storage,08-31-2047 23:59:00,10769596,Storage,Storage (acre-ft),2047,August
29,29,Mead.Storage,09-30-2047 23:59:00,10796834,Storage,Storage (acre-ft),2047,September
29,29,Mead.Storage,10-31-2047 23:59:00,11042764,Storage,Storage (acre-ft),2047,October
29,29,Mead.Storage,11-30-2047 23:59:00,11147309,Storage,Storage (acre-ft),2047,November
29,29,Mead.Storage,12-31-2047 23:59:00,11264947,Storage,Storage (acre-ft),2047,December
29,29,Mead.Storage,01-31-2048 23:59:00,11400351,Storage,Storage (acre-ft),2048,January
29,29,Mead.Storage,02-29-2048 23:59:00,11441810,Storage,Storage (acre-ft),2048,February
29,29,Mead.Storage,03-31-2048 23:59:00,11283417,Storage,Storage (acre-ft),2048,March
29,29,Mead.Storage,04-30-2048 23:59:00,11075956,Storage,Storage (acre-ft),2048,April
29,29,Mead.Storage,05-31-2048 23:59:00,10949826,Storage,Storage (acre-ft),2048,May
29,29,Mead.Storage,06-30-2048 23:59:00,10743630,Storage,Storage (acre-ft),2048,June
29,29,Mead.Storage,07-31-2048 23:59:00,10687717,Storage,Storage (acre-ft),2048,July
29,29,Mead.Storage,08-31-2048 23:59:00,10705002,Storage,Storage (acre-ft),2048,August
29,29,Mead.Storage,09-30-2048 23:59:00,10748696,Storage,Storage (acre-ft),2048,September
29,29,Mead.Storage,10-31-2048 23:59:00,11101130,Storage,Storage (acre-ft),2048,October
29,29,Mead.Storage,11-30-2048 23:59:00,11301579,Storage,Storage (acre-ft),2048,November
29,29,Mead.Storage,12-31-2048 23:59:00,11469000,Storage,Storage (acre-ft),2048,December
29,29,Mead.Storage,01-31-2049 23:59:00,11657582,Storage,Storage (acre-ft),2049,January
29,29,Mead.Storage,02-28-2049 23:59:00,11752353,Storage,Storage (acre-ft),2049,February
29,29,Mead.Storage,03-31-2049 23:59:00,11643666,Storage,Storage (acre-ft),2049,March
29,29,Mead.Storage,04-30-2049 23:59:00,11427247,Storage,Storage (acre-ft),2049,April
29,29,Mead.Storage,05-31-2049 23:59:00,11303878,Storage,Storage (acre-ft),2049,May
29,29,Mead.Storage,06-30-2049 23:59:00,11086261,Storage,Storage (acre-ft),2049,June
29,29,Mead.Storage,07-31-2049 23:59:00,11031982,Storage,Storage (acre-ft),2049,July
